word,Lg10WF,AoA,Prevalence,SemD,Conc.M
tln,0.4771,,,,
tn,0.4771,,,,
tng,0.4771,,,,
toadies,0.6021,,,,
toasties,0.4771,,,,
toboggans,0.4771,,,,
toccata,0.4771,,,,
toeing,0.4771,,,,
toffy,0.4771,,,,
toiletry,0.6021,10.16,1.99,,4.52
toilettes,0.4771,,,,
toking,0.4771,,,,
tole,0.4771,,,,
tolerantly,0.4771,,,,2.03
tollgate,0.4771,,,,4.69
tollhouse,0.4771,12.47,1.31,,4.19
toltec,0.4771,,,,
toluene,0.699,,,,
tomography,0.4771,,,0.78,
tonality,0.4771,,,0.75,2.36
tonights,0.6021,,,,
tonite,0.699,,,,
tonk,0.4771,,,,
tonne,0.4771,,,1.34,
tonnes,0.699,,,1.36,
tonsorial,0.4771,,,,
tonsure,0.4771,,,,
tooted,0.4771,,,,
tooter,0.4771,,,,
toothier,0.4771,,,,
toothsome,0.4771,,,,
tootsy,0.6021,,,,
topman,0.4771,,,,
topsiders,0.4771,,,,
topspin,0.4771,,,,
toque,0.699,,,,
torchy,0.4771,,,,
toreadors,0.4771,,,,
torte,0.4771,,,,
tortes,0.4771,,,,
torticollis,0.4771,,,,
totalitarianism,0.4771,15.12,1.76,1.25,2.12
totten,0.4771,,,,
totter,0.4771,,,,
totty,0.4771,,,,
touchhole,0.699,,,,
touchline,0.4771,,,0.9,
toughening,0.4771,,,,
toughens,0.4771,,,,
toughs,0.4771,6.359429167,2.45,,
toupees,0.4771,,,,
tourniquets,0.4771,,,,
tovarich,0.4771,,,,
tovarisch,0.6021,,,,
toweling,0.4771,,,,3.41
townsman,0.6021,9.32,2.03,,4
toxemia,0.6021,,,,
toxicological,0.4771,,,,2
toxicologists,0.4771,,,,
toxify,0.4771,,,,
toymaker,1.6628,,,,4.46
tracheostomy,0.6021,,,,
tracheotomies,0.4771,,,,
tradecraft,0.4771,,,,2.83
trademarked,0.4771,,,,
tradespeople,0.4771,,,,
traditionalism,0.4771,12.63,2.22,,2.04
traditionalists,0.4771,12.5,2.17,1.72,
traffickers,0.4771,,,0.77,
tragedian,0.4771,,,,
trailblazers,0.4771,,,,
trainings,0.699,,,,
tramell,1.3424,,,,
trams,0.9031,,,0.78,
tramway,0.4771,,,0.62,
trancelike,0.4771,,,,2.19
tranquillise,0.4771,,,,
transacting,0.4771,,,,
transaxle,0.4771,,,,
transceivers,0.4771,,,,
transcriptions,0.4771,,,1.16,
transfixed,0.4771,,,1.48,
transfuser,0.4771,,,,
transgenders,0.4771,,,,
transgressive,0.4771,,,,
transistorised,0.4771,,,,
transited,0.6021,,,,
transitioned,0.6021,,,,
transmittable,0.4771,12.47,2.14,,2.27
transmogrification,0.6021,,,,
transmutations,0.4771,,,,
transoceanic,0.4771,,,,3
transorbital,0.4771,,,,
transparencies,0.4771,,,1.07,
transpersonal,0.4771,,,,
transpiring,0.4771,,,,
transportable,0.4771,,,,3.03
transthoracic,0.4771,,,,
trashcans,0.4771,,,,
travelogue,0.4771,,,,
traversed,0.4771,,,1.66,2.85
traverses,0.4771,,,,
trawlers,0.6021,,,,
treacheries,0.4771,12.4,2.17,,
treacherously,0.4771,,,,2.24
treacly,0.4771,,,,
treaded,0.4771,,,,
treater,0.4771,,,,
trebled,0.8451,,,1.76,
trebuchet,1.0414,,,,
treeing,0.4771,,,,
treeless,0.4771,,,1.12,4.24
trekked,0.4771,,,,
tremolo,0.4771,,,0.36,
trenchant,0.4771,,,1.8,
trenched,0.4771,,,,3.12
trencher,0.7782,,,,3.62
trendiest,0.4771,,,,
trendiness,0.4771,,,,1.92
trending,0.4771,,,,
trepanation,0.4771,,,,
treys,0.4771,,,,
trialed,0.4771,,,,
tribulation,0.4771,14.95,1.97,,2.15
triceratops,0.4771,,,,4.11
trichloride,0.6021,,,,
trichosis,0.4771,,,,
tricker,0.7782,,,,
trickles,0.4771,,,,
tricksy,0.699,,,,
tricuspid,0.4771,,,,
trigram,0.4771,,,,
trinary,0.4771,,,,
trios,0.4771,,,1.11,
triphenylmethane,0.4771,,,,
triplet,0.4771,8.11,2.19,,4.36
tripods,0.6021,9.265551515,2.58,,
triptych,0.4771,,,,
trisome,0.4771,,,,
trisomy,0.4771,,,,
triste,0.4771,,,,
tristram,0.4771,,,,
trivializes,0.4771,,,,
tromped,0.4771,,,,
trooped,0.4771,,,1.51,
tropes,0.4771,,,,
troths,0.4771,,,,
troubleshooting,0.4771,,,,
troupers,0.4771,,,,
troupes,0.4771,,,,
trouts,0.4771,,,,
trovatore,0.4771,,,,
trow,0.4771,,,,
truckman,0.6021,,,,
truism,0.4771,,,1.78,
trun,0.4771,,,,
truncated,0.4771,,,1.83,
truncheons,0.4771,,,1.07,
trunkless,0.4771,,,,
tryptophan,0.699,,,,
trysting,0.4771,,,,
tsp,0.6021,,,0.31,
tsun,0.9031,,,,
tua,0.4771,,,,
tubas,0.4771,,,,
tuberoses,0.6021,,,,
tubful,0.4771,,,,3.92
tubules,0.4771,,,,
tuckahoe,0.4771,,,,
tufan,0.6021,,,,
tuft,0.4771,,,1.51,3.85
tufted,0.4771,,,0.99,
tugboats,0.4771,,,,
tula,0.699,,,,
tumescent,0.6021,,,,
tuppenny,0.4771,,,,
turbocharger,0.4771,,,,4.07
turbos,0.4771,,,,
turfdom,0.4771,,,,
turfs,0.699,,,,
turmeric,0.4771,,,,
turnbuckle,0.6021,,,,
turnoffs,0.699,,,,
turtled,0.4771,,,,
turtlehead,0.4771,,,,4.08
tuscarora,1.3424,,,,
tutting,0.4771,,,,
tuxedoes,0.4771,,,,
twanging,0.4771,,,,
twangling,0.4771,,,,
twanky,1.0792,,,,
tweaky,0.4771,,,,
tweeting,0.6021,,,,3.47
tweezer,0.4771,9.89,2.04,,4.89
tweezes,0.4771,,,,
twentyfold,0.4771,,,,3.54
twi,0.4771,,,,
twiddled,0.4771,,,,
twigged,0.4771,,,,
twilights,0.4771,,,,
twilit,0.4771,,,,
twitcher,0.7782,,,,
tympanic,0.4771,,,,
tyne,0.4771,,,,
typecasting,0.4771,,,,
typesetter,0.4771,,,,3.82
tyrannis,0.4771,,,,
tyrolean,0.4771,,,,
tyros,0.699,,,,
tzedakah,0.6021,,,,
ubiquity,0.4771,,,,
ufology,0.6021,,,,
uhuru,0.6021,,,,
ui,0.6021,,,,
ulcerative,0.4771,,,0.46,2.4
ultimo,0.4771,,,,
ultrarapid,0.9031,,,,
ultrasuede,0.4771,,,,
umlauts,0.699,,,,
umpiring,0.4771,,,,
unabridged,0.4771,14.06,1.77,,2.12
unaccepting,0.4771,,,,
unaccommodating,0.4771,,,,1.69
unadventurous,0.4771,,,,2.03
unadvised,0.4771,12,1.46,,1.72
unaffiliated,0.4771,,,,2.21
unaffordable,0.4771,,,,2.59
unalienable,0.4771,,,,2.04
unanimity,0.4771,,,1.44,
unapt,0.4771,,,,
unarguably,0.4771,,,,1.58
unasked,0.4771,,,,
unassailable,0.699,,,1.81,1.77
unassailed,0.4771,,,,
unavailability,0.4771,,,,2.07
unbeautiful,0.4771,,,,1.81
unbelieve,0.4771,,,,
unbend,0.4771,8.22,1.34,,3.27
unbleached,0.4771,,,,3.79
unblessed,0.6021,,,,1.37
unbolt,0.4771,,,,3.89
unbottle,0.4771,,,,
unbought,0.4771,,,,
unbuild,0.4771,,,,
uncashed,0.4771,,,,
uncatchable,0.699,,,,2.19
uncaught,0.4771,,,,
unchaperoned,0.4771,,,,
unchartered,0.4771,,,,2.37
unchaste,0.4771,,,,2.19
uncheck,0.4771,,,,3.14
unclouded,0.4771,9.39,1.58,,2.12
uncock,0.4771,,,,
uncoded,0.4771,,,,
uncoil,0.4771,,,,3.79
uncomfortableness,0.4771,,,,
uncompromised,0.4771,,,,1.92
unconfined,0.4771,,,,2.96
unconscionably,0.4771,,,,1.68
unconsecrated,0.4771,,,,
unconsoled,0.4771,,,,
uncontestable,0.4771,,,,1.83
uncontroversial,0.9542,,,1.67,1.93
unconventionality,0.4771,,,,1.39
uncorking,0.4771,,,,3.78
uncreative,0.4771,,,,2.07
uncredited,0.4771,,,,
uncritical,0.4771,12.05,1.25,1.58,1.6
uncurl,0.699,,,,3.38
undefiled,0.4771,,,,1.75
underachieving,0.4771,,,,
underbidding,0.4771,,,,
undercharged,0.4771,,,,2.04
undercook,0.4771,,,,3.61
underlies,0.4771,,,1.75,
underpaying,0.4771,,,,
underqualified,0.4771,,,,
underrating,0.4771,,,,1.91
underscoring,0.4771,,,,
undersell,0.4771,13.94,1.47,,2.18
undershoot,0.4771,13.06,1.38,,
understudying,0.4771,,,,
underwritten,0.4771,,,1.23,
undirected,0.4771,,,,1.83
undischarged,0.4771,,,,
undistracted,0.4771,,,,1.93
undoable,0.4771,,,,1.91
undoubted,0.4771,,,2.02,1.79
undramatic,0.4771,,,,
undyingly,0.4771,,,,1.48
unearthing,0.4771,,,,
unelected,0.4771,,,,2.35
unemploy,0.4771,,,,
unenthusiastic,0.4771,,,1.94,2.58
unequipped,0.4771,,,,2.68
unerring,0.4771,,,,
unessential,0.4771,,,,1.73
unevenly,0.4771,,,1.77,2.73
unexceptional,0.6021,,,,1.65
unexciting,0.4771,,,,1.65
unexplainably,0.4771,,,,2.03
unexpurgated,0.4771,,,,
unfailingly,0.4771,,,,1.45
unfaithfulness,0.4771,,,,1.72
unfashionably,0.4771,,,,2
unfeminine,0.4771,,,,2.28
unfertilized,0.4771,12.22,2.32,,2.81
unfired,0.4771,,,,2.4
unflinchingly,0.4771,,,,1.97
ung,0.699,,,,
ungallant,0.4771,,,,
ungettable,0.6021,,,,
unharness,0.4771,,,,
unhitched,0.4771,,,,2.93
unhitching,0.4771,,,,
unhittable,0.4771,,,,1.88
unhooks,0.4771,,,,
unhorsed,0.4771,,,,
unimpaired,0.4771,11.42,2.07,,2.37
uninspected,0.4771,,,,2.32
uninsurable,0.4771,,,,2
uninviting,0.4771,,,,2.18
unionism,0.4771,,,0.89,2.11
unjustifiably,0.4771,,,,1.83
unkenneled,0.4771,,,,
unkillable,0.6021,,,,
unkindest,0.4771,,,,
unkissed,0.4771,,,,
unlighted,0.4771,,,,2.58
unlikelihood,0.4771,,,,1.64
unlineal,0.4771,,,,
unliving,0.6021,,,,
unlovely,0.4771,10.06,0.82,,2.24
unloving,0.4771,,,,2.43
unlubricated,0.6021,,,,
unmanner,0.6021,,,,
unmannered,0.4771,9.94,1.17,,1.85
unmasks,0.4771,,,,
unmaterialistic,0.4771,,,,
unmended,0.4771,,,,
unmentioned,0.4771,,,,1.59
unmodified,0.4771,13.2,2.01,1.42,1.96
unmolested,0.4771,13.47,1.47,,1.88
unmount,0.4771,,,,
unmounted,0.4771,,,,
unnameable,0.4771,,,,
unneeded,0.6021,10.63,1.31,,1.72
unnumbered,0.7782,9.18,0.97,,2.11
unopinionated,0.4771,,,,
unordained,0.4771,,,,
unpalatable,0.4771,,,1.87,2.58
unpatrolled,0.4771,,,,2.34
unpeel,0.4771,,,,
unpeeled,0.4771,,,,4
unpick,0.4771,9.29,0.98,,2.39
unpickable,0.6021,,,,
unpleasantly,0.4771,,,1.68,1.96
unpleasantries,0.4771,,,,
unplucked,0.4771,,,,
unpopularity,0.4771,,,1.58,1.79
unpractical,0.4771,,,,1.59
unpretty,0.4771,,,,
unpriestly,0.4771,,,,
unpure,0.8451,,,,
unquestionable,0.4771,11.11,2.35,1.76,1.54
unquiet,0.4771,,,,
unrealized,0.4771,,,,1.66
unreason,0.4771,11.88,0.59,,2.28
unrecognisable,0.4771,,,1.74,
unrecognised,0.4771,,,1.87,
unreconstructed,0.4771,15.59,0.6,,
unredeemable,0.4771,,,,1.45
unrefrigerated,0.4771,,,,2.83
unrefuted,0.4771,,,,
unreleased,0.4771,10.74,2.05,,2.54
unremittingly,0.4771,,,,
unrepresented,0.4771,,,1.16,1.92
unreservedly,0.4771,,,1.76,1.61
unrevealed,0.4771,,,,2.31
unrewarding,0.6021,10.72,2.03,1.92,1.32
unripe,0.4771,,,,3.31
unrolling,0.4771,,,,2.96
unrolls,0.4771,,,,
unruffled,0.4771,9.17,1.83,1.67,3
unsaddle,0.6021,10,1.61,,3.79
unsaddled,0.4771,,,,3.23
unsanctioned,0.4771,,,,1.63
unsaved,0.4771,,,,1.87
unscrambles,0.4771,,,,
unscrews,0.4771,,,,
unsealing,0.4771,,,,2.95
unseated,0.4771,,,,2.79
unsee,0.4771,,,,
unsettlement,0.4771,,,,1.81
unsex,0.4771,,,,
unshakeable,0.4771,11.56,2.06,1.71,2.19
unshaved,0.4771,9.74,1.9,,4.25
unsheathed,0.4771,,,,3.42
unship,0.4771,,,,
unshod,0.4771,,,,
unshrink,0.4771,,,,
unskilled,0.6021,10,2.17,1.18,1.97
unsmiling,0.8451,8.83,1.11,1.51,2.78
unsnapped,0.4771,,,,3.25
unspecific,0.4771,,,,1.41
unsponsored,0.4771,,,,2.28
unsporting,0.4771,,,,1.81
unstably,0.4771,,,,1.68
unstained,0.6021,8.76,1.89,,3.21
unstructured,0.4771,12.95,2.23,1.59,2.04
unsupportable,0.4771,12.45,1.68,,1.85
unswerving,0.4771,,,,2.28
unthinking,0.4771,9.44,1.3,1.83,1.96
unthreatened,0.4771,,,,2.15
unties,0.4771,,,,
untimed,0.4771,,,,2.75
untruths,0.4771,,,,
untwist,0.4771,,,,3.44
unvanquished,0.699,,,,1.92
unwedded,0.4771,,,,2.08
unwelcomed,0.4771,,,,1.96
unwinnable,1.0792,,,,2.04
unwisely,0.4771,,,1.9,1.89
unworldly,0.4771,,,1.6,2.07
unworthiest,0.4771,,,,
unwound,0.4771,8.42,1.49,1.65,3.11
upbringings,0.4771,,,,
upheavals,0.4771,,,1.83,
upland,0.4771,11.27,1.08,0.99,
uplands,0.7782,,,1.06,
uplinking,0.4771,,,,
upmarket,0.4771,,,1.56,
upraised,0.4771,,,,
uproarious,0.4771,,,,
upsadaisy,0.6021,,,,
upsides,0.4771,,,,2.46
upsurge,0.4771,,,1.78,2.17
uptick,0.4771,,,,
upway,0.4771,,,,
urbanites,0.4771,,,,
urdu,0.6021,,,1.01,
ure,0.4771,,,,
urea,0.4771,,,1.04,
uremia,0.6021,,,,
urethral,0.4771,,,,
urological,0.4771,,,,2.23
urologists,0.4771,,,,
urosepsis,0.4771,,,,
useable,0.4771,,,,2.1
usuals,0.4771,,,,
usurer,0.699,,,,
usurpation,0.4771,,,0.79,
utilise,0.4771,,,1.88,
utilising,0.4771,,,1.88,
utilizes,0.4771,10.63,2.11,,
utrecht,0.7782,,,,
uvres,0.4771,,,,
uzbek,0.699,,,,
vacationers,0.4771,8.94,1.63,,
vache,0.4771,,,,
vacillates,0.4771,,,,
vacillating,0.4771,,,,
vadis,0.4771,,,,
vagary,0.4771,,,,
vainest,0.4771,,,,
valedictorians,0.4771,,,,
valedictory,0.6021,,,,
valentinian,1.0414,,,,
vales,0.6021,,,,
valeting,0.6021,,,,
vallecula,0.4771,,,,
valse,0.4771,,,,
valuing,0.4771,,,1.52,
vamped,0.6021,,,,1.91
vandyke,0.4771,,,,
vanir,0.7782,,,,
vaporise,0.6021,,,,
variability,0.4771,12.58,2.08,1.49,1.88
variants,0.4771,,,1.46,
variola,0.6021,,,,
varyingly,0.699,,,,1.75
vasodilator,0.4771,,,,
vassals,0.4771,,,0.68,
vaster,0.4771,,,,
vaudevillians,0.4771,,,,
veals,0.699,,,,
vectored,0.4771,,,,
veda,1.8573,,,,
vegetated,0.4771,,,,
veggieburger,0.699,,,,
vellum,0.4771,,,1.25,
velocipede,0.4771,,,,
velocities,0.6021,12.62,2.33,0.87,
velvets,0.4771,,,,
veneration,0.4771,,,1.3,1.65
venging,0.4771,,,,
venta,0.4771,,,,
ventana,1.1139,,,,
venturi,0.699,,,,
venusian,0.6021,,,,
verandah,0.699,,,1.34,
verbalized,0.4771,,,,
verbalizing,0.4771,,,,
verbals,0.4771,,,,
verbena,0.4771,,,,
verbum,0.4771,,,,
verdigris,0.4771,,,,
verger,1.2553,,,,
verity,0.6021,,,1.14,
vermeil,1.2041,,,,
verruca,0.4771,,,,
vertex,0.4771,13.06,0.73,,3.12
vertices,0.4771,,,,3.71
verts,0.699,,,,
verus,0.4771,,,,
vesicle,0.4771,14.27,0.31,,
vesper,0.7782,,,,
vexatious,0.4771,,,1.17,
viaducts,0.4771,,,,
vibratory,0.4771,,,,
vicars,0.4771,,,1.39,
vicomte,1.1139,,,,
victorias,0.4771,,,1.43,
vicuna,0.6021,,,,
vide,0.6021,,,,
vietnamization,0.699,,,,
vigilantly,0.4771,,,,1.62
vignettes,0.4771,,,,
vigorish,0.4771,,,,
vilely,0.6021,,,,
vina,0.4771,,,,
vireo,0.6021,,,,
virginians,0.4771,,,,
virology,0.4771,,,,
vis,0.4771,,,,
viscose,0.4771,,,0.81,
viscus,0.4771,,,,
vison,0.4771,,,,
visualised,0.4771,,,1.47,
visualises,0.4771,,,,
vitruvian,0.4771,,,,
vitry,0.699,,,,
vivace,0.4771,,,,
vividness,0.4771,11.45,1.79,,2.17
vizier,1.1461,,,,
vocalising,0.4771,,,,
vocalists,0.4771,10.63,2.35,,
voile,0.4771,,,,
voiture,0.6021,,,,
volkswagens,0.4771,,,,
volumen,0.4771,,,,
voluminous,0.4771,14.11,1.78,1.78,2.57
volvulus,0.8451,,,,
vomitous,0.4771,,,,
voodooism,0.4771,,,,
vorpal,0.4771,,,,
vouchsafed,0.4771,,,,
voyagers,0.4771,,,,
voyaging,0.4771,,,,
vulcanise,0.4771,,,,
vulgarism,0.4771,,,,2.27
wackier,0.4771,,,,
wackiness,0.4771,,,,2
wacs,0.4771,,,,
waddies,0.4771,,,,
waggly,0.4771,,,,
wagoneer,0.6021,,,,
wagoner,0.9542,,,,
wahine,1.1139,,,,
wain,0.4771,,,,
wainscot,0.4771,,,,
waka,0.6021,,,,
wakan,1.1139,,,,
walkaway,0.4771,7.73,0.75,,
walkouts,0.9031,,,,
wallahs,0.4771,,,,
walleye,0.9031,,,,
wallower,0.6021,,,,
wallpapers,0.4771,6.893995,2.58,1.01,
waltzer,1.2304,,,,
wangled,0.4771,,,,
wannabees,0.4771,,,,
wantonness,0.4771,,,,
wanty,0.4771,,,,
warders,0.7782,,,0.87,
wardrobes,0.4771,,,1.14,
warehousing,0.6021,10.41,1.55,1.26,3.29
wariness,0.4771,,,1.54,1.73
warmup,0.4771,,,,
warplanes,0.699,,,,
warrantless,0.4771,,,,2.07
warred,0.4771,,,,
washday,0.4771,9.5,0.81,,2.92
washerwomen,0.4771,,,,
washstand,0.4771,10.71,1.35,,4.85
washy,0.4771,,,,
wassail,0.4771,,,,
waster,0.4771,,,,2.35
wastrel,0.4771,,,,
wastrels,0.4771,,,,
waugh,0.4771,,,,
wavery,0.4771,,,,
waxwork,0.4771,11.89,1,,3.96
waybills,0.4771,,,,
wazir,0.6021,,,,
weariest,0.4771,,,,
weathercock,0.4771,,,,
weatherproof,0.4771,10.53,2.12,,3.11
webmaster,0.4771,,,,3.38
webpage,0.699,,,,4.77
websters,0.4771,,,,
wedgy,0.4771,,,,
ween,0.699,,,,
weepers,0.4771,,,,
weft,0.4771,,,,
weirdie,0.4771,,,,
welchers,0.4771,,,,
wendish,0.699,,,,
wends,0.4771,,,,
werent,0.4771,,,,
westernized,0.4771,,,,
westland,0.4771,,,,
westy,0.7782,,,,
wf,0.6021,,,,
whacky,0.4771,,,,2.03
whatd,0.4771,,,,
whatsis,0.4771,,,,
wheedling,0.4771,,,,
wheelers,0.8451,,,,
wheelwright,0.4771,,,,
whelk,0.4771,,,,
whelmed,0.4771,,,,
whens,0.4771,,,,
wherefores,0.4771,,,,
wherry,0.699,,,,
whets,0.4771,,,,
whiffed,0.6021,,,,
whiffing,0.4771,,,,
whiffs,0.4771,,,,
whillikers,0.4771,,,,
whimsicalities,0.4771,,,,
whippersnappers,0.4771,,,,
whippet,0.7782,,,,
whippy,0.4771,,,,
whirled,0.4771,,,1.29,2.86
whirligig,0.4771,,,,
whispery,0.6021,,,,2.82
whited,0.4771,,,,
whiteheads,0.4771,,,,
whitening,0.4771,,,,3.83
whitestone,0.6021,,,,
whitewater,0.6021,,,,4.45
whithersoever,0.699,,,,
whittles,0.4771,,,,
whity,0.4771,,,,
whizzers,0.8451,,,,
whodunits,0.4771,,,,
wholegrain,0.6021,,,,4.19
wholewheat,0.4771,,,,
whoof,0.4771,,,,
whooshed,0.6021,,,,
wibble,0.9031,,,,
wickiup,1.1761,,,,
wicky,0.6021,,,,
wielder,0.6021,,,,3.72
willer,0.6021,,,,
willet,1.3802,,,,
wilts,0.4771,,,1.29,
wiltshire,0.4771,,,,
windiest,0.6021,,,,
windowsills,0.4771,,,,
windpipes,0.4771,,,,
windscreens,0.4771,,,,
windstorms,0.4771,,,,
windsurf,0.4771,,,,4.04
wingers,0.4771,,,1.33,
wingless,0.4771,7.83,1.96,,3.71
wingspread,0.4771,9.39,0.95,,
wingtips,0.4771,,,,
winkles,0.4771,,,,
winkling,0.4771,,,,
winless,0.4771,,,,
winningest,0.4771,,,,
winningly,0.6021,,,,2.07
wiseman,0.8451,,,,
wisen,0.4771,,,,
wishy,0.4771,,,,
wising,0.4771,,,,
wite,0.7782,,,,
withholds,0.4771,,,,
withstands,0.4771,10.05,2.07,,
wittering,0.4771,,,,
witticisms,0.4771,,,,
wittier,0.4771,,,,
wizened,0.4771,,,1.56,
wk,0.6021,,,,
wobbled,0.4771,,,1.46,
wobblies,0.4771,,,,
wog,0.4771,,,,
wogs,0.4771,,,,
woks,0.4771,,,,
wolfish,0.4771,,,,2.52
womans,0.7782,,,,
wonderfulness,0.6021,9.16,1.35,,1.59
wonks,0.6021,,,,
woodburning,0.4771,,,,
woodcarver,0.4771,8.86,1.69,,4.59
woolens,0.4771,,,,
woops,0.6021,,,,
wordage,0.4771,,,,
wordless,0.4771,10.21,2.06,1.23,2.31
wordlessly,0.4771,,,1.24,2.5
workdays,0.4771,,,,
workhouses,0.699,,,0.96,
wormer,1.1461,,,,
worthlessness,0.4771,9.78,2.24,,1.59
wot,0.4771,,,,
wowing,0.4771,,,,
wows,0.4771,,,,
wowser,0.9542,,,,
wretchedly,0.4771,,,1.44,1.7
wretchedness,0.4771,12.71,1.82,,2.07
wriggled,0.4771,,,1.28,
wriggles,0.4771,,,,
wrights,0.8451,,,1.34,
writs,0.4771,,,1.25,
wro,0.4771,,,,
wrongest,0.6021,,,,
wryly,0.4771,,,1.19,
wyvern,0.4771,,,,
xenogenesis,0.4771,,,,
xenophobia,0.6021,,,1.48,2.13
xeroxes,0.4771,,,,
xylophonist,0.4771,,,,4.29
yabu,1.0414,,,,
yachtsman,0.6021,,,,4.35
yacking,0.4771,,,,
yakitori,0.4771,,,,
yapped,0.6021,,,,3.25
yardarms,0.4771,,,,
yardbird,0.9031,,,,
yardsticks,0.4771,,,,
yarmulkes,0.699,,,,
yate,0.4771,,,,
yatter,0.699,,,,
yawing,0.6021,,,,
yawls,0.4771,,,,
yeahs,0.4771,,,,
yearlong,0.4771,10.06,1.1,,2.68
yellowbird,0.6021,,,,4.62
yellowy,0.4771,,,,2.92
yeo,1.3979,,,,
yerba,0.4771,,,,
yester,0.4771,,,,
yew,0.4771,,,1.42,
yids,0.4771,,,,
yipe,0.4771,,,,
yod,1.4914,,,,
yodeled,0.6021,,,,
yodeler,0.4771,,,,4.08
yodelers,0.4771,,,,
yodeller,0.4771,,,,
yogic,0.4771,,,,
yohimbine,0.699,,,,
yond,0.6021,,,,
yoni,0.7782,,,,
youngers,1.0792,,,,
youngs,0.6021,,,,
yowie,1.4314,,,,
yrs,0.6021,,,,
yt,1.2788,,,,
zac,1.2304,,,,
zaftig,0.4771,,,,
zagged,0.4771,,,,
zar,0.4771,,,,
zealousness,0.4771,,,,2
zebedee,0.4771,,,,
zechariah,1.0792,,,,
zigzags,0.6021,,,,
zillionth,0.6021,,,,1.92
zink,0.4771,,,,
zinnia,0.6021,,,,
zirconium,0.4771,,,,4.27
zn,0.4771,,,,
zodiacal,0.4771,,,,2.17
zona,0.6021,,,,
zucchinis,0.4771,,,,
zuni,0.4771,,,,
zwieback,0.4771,,,,
zygoma,0.4771,,,,
aahed,0.301,,,,
aal,0.301,,,,
aarrgh,0.301,,,,
aarrghh,0.301,,,,
abaca,0.301,,,,
abacuses,0.301,,,,
abaft,0.4771,,,,
abandoner,0.301,,,,2.5
abastard,0.301,,,,
abating,0.301,,,,
abay,0.6021,,,,
abbesses,0.301,,,,
abbreviate,0.301,9.95,2.17,,2.59
abd,0.301,,,,
abdicates,0.301,,,,
abele,0.301,,,,
abernethy,0.301,,,,
abettor,0.301,,,,
abiders,0.301,,,,
abiogenist,0.6021,,,,
abit,0.301,,,,
abjure,0.301,,,,
ablate,0.301,,,,
ablated,0.301,,,,
ablation,0.301,,,,
abler,0.301,,,,
abloom,0.6021,,,,
abnormity,0.301,,,,
abolishes,0.301,,,,
abolitionism,0.301,,,,1.86
abomasum,0.301,,,,
aboriginally,0.301,,,,
aboriginals,0.301,,,,
aborning,0.301,,,,
abortionists,0.301,,,,
abortive,0.301,13.93,1.37,1.74,1.88
abortively,0.301,,,,1.95
aborts,0.301,,,,
abovementioned,0.301,,,,2.96
abrade,0.301,,,,
abraid,0.301,,,,
abrasiveness,0.4771,,,,2.72
abrasives,0.699,,,,
abreaction,0.301,,,,
abridge,0.301,,,,2.77
abridgement,0.301,,,,
abrogate,0.301,,,,
abrogating,0.301,,,,
absconder,0.301,,,,
abseiling,0.301,,,1,
absentmindedness,0.301,,,,1.75
absinthes,0.6021,,,,
absinthium,0.301,,,,
absit,0.301,,,,
absoluteness,0.301,12.68,1.24,,1.5
absolutions,0.301,,,,
absolver,0.699,,,,
absorbtion,0.6021,,,,
absorptions,0.301,10.94,1.98,,
abstainers,0.301,,,,
abstentions,0.301,,,1,
abstracting,0.301,11.01772727,2.58,1.17,
abstractionist,0.301,,,,2.52
absurdist,0.301,,,,
abulia,0.301,,,,
abusiveness,0.301,,,,1.84
abutments,0.301,,,,
abutting,0.301,,,,
abysmally,0.301,,,,2.12
abyssal,0.301,,,,
academes,0.301,,,,
academician,0.301,,,,
acanthus,0.301,,,0.96,
accademia,0.301,,,,
accadian,0.301,,,,
acceded,0.301,,,1.65,
accented,0.301,8.397831313,2.11,1.39,
accentuating,0.301,,,,
acceptant,0.301,,,,2.08
accessorise,0.301,,,,
accidentals,0.301,,,,
acclamation,0.301,14,1.38,,2.23
acclimates,0.301,,,,
acclimatization,0.301,,,,1.83
acclimatize,0.301,,,,2.12
accolade,0.301,,,1.85,2.46
accommodative,0.301,,,,1.73
accompanier,0.301,,,,2.71
accompanists,0.301,12.78,1.29,,
accordable,0.301,,,,
accosts,0.301,,,,
accoutered,0.301,,,,
accoutre,0.301,,,,
accrediting,0.301,,,,
accrete,0.301,,,,
accrues,0.301,,,,
accumulations,0.301,,,1.47,
accumulator,0.301,,,0.5,2.64
acentric,0.301,,,,
acetabulum,0.4771,,,,
acetates,0.301,,,,
acetic,0.301,,,0.8,
achar,0.301,,,,
achiness,0.301,,,,2.54
acidemia,0.4771,,,,
acidizing,0.301,,,,
ackee,0.301,,,,
acknowledgments,0.301,9.95,2.17,,
acnes,0.301,,,,
acoma,0.6021,,,,
acoustically,0.301,,,,2.5
acquiescent,0.301,,,,
acquirer,0.301,,,,2.52
acquisitiveness,0.301,,,,
acquittals,0.301,,,,
acromegalia,1.0414,,,,
acta,0.301,,,,
actg,0.301,,,,
actings,0.301,,,,
actinic,0.301,,,,
actioner,0.301,,,,
actives,0.301,,,,
actory,0.301,,,,
actu,0.301,,,,
actualisation,0.4771,,,,
actualised,0.301,,,,
actualities,0.301,11.9317,2.1,,
actuarially,0.301,,,,
actuaries,0.301,,,0.96,
actuate,0.301,,,,
actuating,0.301,,,,
actuation,0.301,,,,
